id,referencni_cislo,ico,nazev,adresa,datum_zverejneni,datum_uzavreni,datum_uvolneni_zakazu,stav_uzavreni,druh,zjistene_skutecnosti,stazeno
41011,P21-000057-SZPI-CZ,15207790,PAVEL BAUER,"Karlovo nám. 23/17, 67401 Třebíč",2021-08-31,2021-08-30,,Uzavřeno,Maloobchod,"Výskyt plísní na provozovně|Výskyt plísní na výrobních zařízeních, předmětech nebo površích|Výskyt plísní na stěnách|Výrazné znečištění prostor|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Poškození stěn|Riziko kontaminace potravin z důvodu nevyhovujících prostor",2022-01-03
41010,P21-000056-SZPI-CZ,00685976,"BILLA, spol. s r. o.","Plumlovská 4210/104, 796 04 Prostějov",2021-08-26,2021-08-26,2021-09-07,Znovu otevřeno,Maloobchod,Výrazně zanedbaný úklid|Výrazné znečištění prostor|Nečistoty na podlaze|Poškození stěn|Poškození podlah|Nevhodně skladované potraviny,2022-01-03
41009,P21-000055-SZPI-CZ,18621821,"Hekrovo pekařství, spol. s r. o.","Obecnice 159, 262 21 Obecnice",2021-08-25,2021-08-25,,Uzavřeno,Výroba,Výskyt trusu hlodavců|Výskyt plísní na stěnách,2022-01-03
41008,P21-000054-SZPI-CZ,28542011,Abrita s.r.o.,"Bezová 341, Horní Jirčany, 142 00 Jesenice u Prahy",2021-08-25,2021-08-24,2021-08-27,Znovu otevřeno,Velkoobchod,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Potraviny poškozené nebo kontaminované škůdci|Stopy po působení a výskytu hlodavců,2022-01-03
41007,P21-000053-SZPI-CZ,28542011,Abrita s.r.o.,"Bezová 341, Horní Jirčany, 142 00 Jesenice u Prahy",2021-08-13,2021-08-12,2021-08-27,Znovu otevřeno,Velkoobchod,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Stopy po působení a výskytu hlodavců,2022-01-03
41006,P21-000052-SZPI-CZ,06108512,THIEN PHUOC s.r.o.,"Libušská 319/126, 142 00 Praha",2021-08-05,2021-08-03,2021-08-06,Znovu otevřeno,Restaurace,"Výskyt trusu hlodavců|Výskyt plísní na výrobních zařízeních, předmětech nebo površích|Výrazně zanedbaný úklid",2022-01-03
41005,P21-000051-SZPI-CZ,06062415,TRAMILI 68 spol. s r.o.,"Náměstí Dr. M. Tyrše 63/15, 75117 Horní Moštěnice",2021-08-04,2021-08-04,2021-08-06,Znovu otevřeno,Maloobchod,Výskyt trusu hlodavců|Výskyt živých hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Potraviny poškozené nebo kontaminované škůdci|Stopy po působení a výskytu hlodavců,2022-01-03
41004,P21-000050-SZPI-CZ,02626608,TIEN HOAN MAI,"Francouzská 436/36, 120 00 Praha",2021-08-03,2021-07-28,2021-08-06,Znovu otevřeno,Maloobchod,"Výskyt hmyzích škůdců|Výskyt plísní na provozovně|Výskyt plísní na stěnách|Výskyt plísní na stropě|Výskyt plísní v chladicích zařízeních|Výrazně zanedbaný úklid|Znečištěné kuchyňské nebo pracovní náčiní|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Výrazné znečištění prostor|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Silně znečistěná chladicí zařízení|Poškození stěn|Poškození podlah|Poškození stropu|Prostory provozovny využívány i pro skladování předmětů, které mohou ovlivnit kvalitu nebo bezpečnost potravin|Riziko kontaminace potravin z důvodu nevyhovujících prostor|Velikost či uspořádání prostor pro výrobu potravin neumožňuje správnou hygienickou praxi|Nevhodně skladované potraviny",2022-01-03
41003,P21-000049-SZPI-CZ,87721309,KHANH VU HUU,"Francouzská 436/36, 120 00 Praha",2021-08-03,2021-07-28,2021-08-06,Znovu otevřeno,Maloobchod,"Výskyt hmyzích škůdců|Výskyt plísní na provozovně|Výskyt plísní na stěnách|Výskyt plísní na stropě|Výrazně zanedbaný úklid|Znečištěné kuchyňské nebo pracovní náčiní|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Výrazné znečištění prostor|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Silně znečistěná chladicí zařízení|Poškození stěn|Poškození podlah|Poškození stropu|Riziko kontaminace potravin z důvodu nevyhovujících prostor|Nevhodně skladované potraviny",2022-01-03
41002,P21-000048-SZPI-CZ,01898078,BLESSLOKK s.r.o.,"Podhorská 663/110, 466 01 Jablonec nad Nisou",2021-07-27,2021-07-26,2021-07-28,Znovu otevřeno,Restaurace,"Provozovna nezabezpečená před pronikáním škůdců|Neoddělená umyvadla na mytí rukou a pracovních pomůcek|Výskyt plísní v chladicích zařízeních|Výrazně zanedbaný úklid|Znečištěné kuchyňské nebo pracovní náčiní|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Nečistoty na podlaze|Poškození stěn|Poškození podlah|Prostory provozovny využívány i pro skladování předmětů, které mohou ovlivnit kvalitu nebo bezpečnost potravin",2022-01-03
41001,P21-000047-SZPI-CZ,05817811,L+L plus s.r.o.,691 08 Bořetice 276,2021-07-26,2021-07-23,2021-07-28,Znovu otevřeno,Maloobchod,"Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Výrazně zanedbaný úklid|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Prostory provozovny využívány i pro skladování předmětů, které mohou ovlivnit kvalitu nebo bezpečnost potravin|Nevhodně skladované potraviny",2022-01-03
41000,P21-000046-SZPI-CZ,03402274,JAN STODOLA,"Jana Palacha  234, 530 02 Pardubice",2021-07-26,2021-07-23,2021-07-30,Znovu otevřeno,Výroba a rozvoz jídel,Výskyt hmyzích škůdců|Provozovna nezabezpečená před pronikáním škůdců|Výskyt plísní na stěnách|Výrazně zanedbaný úklid|Znečištěné kuchyňské nebo pracovní náčiní|Výrazné znečištění prostor|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Silně znečistěná chladicí zařízení|Poškození podlah,2022-01-03
40999,P21-000045-SZPI-CZ,42684226,JIŘÍ ČERNOUŠEK,"Táborská 4384/147, 615 00 Brno",2021-07-23,2021-07-22,,Uzavřeno,Maloobchod,"Výskyt hmyzích škůdců|Nezajištěn přístup teplé vody pro očistu rukou|Výskyt plísní na stropě|Výrazně zanedbaný úklid|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Výrazné znečištění prostor|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Silně znečistěná chladicí zařízení|Poškození stěn|Poškození stropu|Prostory provozovny využívány i pro skladování předmětů, které mohou ovlivnit kvalitu nebo bezpečnost potravin|Riziko kontaminace potravin z důvodu nevyhovujících prostor",2022-01-03
40998,P21-000044-SZPI-CZ,09840117,Pražská Vinotéka s.r.o.,"Na Radosti 166/2, 155 21 Praha",2021-07-16,2021-07-15,,Uzavřeno,Maloobchod,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců,2022-01-03
40997,P21-000043-SZPI-CZ,49499823,VAN BAN NGUYEN,"Na Poříčí 54/77, 267 01 Králův Dvůr",2021-07-15,2021-07-14,2021-07-19,Znovu otevřeno,Maloobchod,"Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Výskyt plísní na výrobních zařízeních, předmětech nebo površích|Nečistoty na podlaze",2022-01-03
40996,P21-000042-SZPI-CZ,04536231,Quang Hung Tran,"Selbská 1204/9, 352 01 Aš",2021-07-09,2021-07-08,2021-07-20,Znovu otevřeno,Restaurace,"Špatné hygienické podmínky na toaletách|Výskyt plísní v chladicích zařízeních|Výrazně zanedbaný úklid|Znečištěné kuchyňské nebo pracovní náčiní|Výrazné znečištění prostor|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Silně znečistěná chladicí zařízení|Poškození stropu|Kouření v prostorách provozovny|Koroze kovových konstrukcí (polic, regálů, aj.)",2022-01-03
40995,P21-000041-SZPI-CZ,04009258,Jelení skok s.r.o.,"Pod Jelením skokem 884/2, 360 01 Karlovy Vary",2021-07-08,2021-07-07,2021-07-09,Znovu otevřeno,Restaurace,"Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Výskyt plísní na stěnách|Nečistoty na podlaze|Poškození stěn|Koroze kovových konstrukcí (polic, regálů, aj.)",2022-01-03
